No,日時,操作,アイテム,数量,操作者,同盟ポイント
1,"2025/01/03 08:16:04","取り出す","クリーム",200,"iamy",-4800
2,"2025/01/03 08:16:18","取り出す","黒糖",100,"iamy",-2000
3,"2025/01/03 08:19:13","預ける","ラズベリー",100,"iamy",42000
4,"2025/01/03 08:19:28","預ける","タマネギ",200,"iamy",3000
5,"2025/01/03 10:51:38","取り出す","カカオ豆",300,"ikanshi",-96000
6,"2025/01/03 11:21:19","預ける","チョコアイス",500,"ikanshi",414500
7,"2025/01/03 11:21:31","預ける","ベーコン",100,"ikanshi",8000
8,"2025/01/03 11:21:41","預ける","あんパン",50,"ikanshi",18750
9,"2025/01/03 17:00:25","取り出す","大豆",500,"マオマオ",-75000
10,"2025/01/03 17:31:16","預ける","トマト",80,"iamy",9600
11,"2025/01/03 17:31:26","預ける","タマネギ",500,"iamy",7500
12,"2025/01/03 17:31:36","取り出す","大豆",500,"iamy",-75000
13,"2025/01/03 19:06:15","取り出す","クリーム",300,"ikanshi",-7200
14,"2025/01/03 19:07:44","取り出す","大豆",500,"くまくん",-75000
15,"2025/01/03 19:08:53","取り出す","黒糖",200,"ikanshi",-4000
16,"2025/01/03 20:02:11","預ける","トマト",200,"ちひ",24000
17,"2025/01/03 20:20:10","預ける","あんパン",50,"ちひ",18750
18,"2025/01/03 20:23:20","取り出す","大豆",200,"sae",-30000
19,"2025/01/03 20:31:39","預ける","ベーコン",500,"sae",40000
20,"2025/01/03 20:32:45","預ける","あんパン",300,"sae",112500
21,"2025/01/03 21:05:02","預ける","あんパン",700,"iamy",262500
22,"2025/01/03 21:05:21","預ける","チョコアイス",500,"iamy",414500
23,"2025/01/03 21:05:29","取り出す","小麦粉",50,"iamy",-500
24,"2025/01/03 21:05:48","取り出す","黒糖",100,"iamy",-2000
25,"2025/01/03 21:05:58","取り出す","角砂糖",100,"iamy",-7500
26,"2025/01/03 21:50:58","預ける","サツマイモ",1600,"エルマス",384000
27,"2025/01/03 21:51:15","取り出す","大豆",1000,"エルマス",-150000
28,"2025/01/03 21:51:30","預ける","ニンジン",200,"エルマス",72000
29,"2025/01/03 22:08:48","取り出す","カカオ豆",300,"ikanshi",-96000
30,"2025/01/03 23:55:54","取り出す","小麦",500,"ikanshi",-500
31,"2025/01/03 23:56:43","取り出す","小麦",700,"エルド",-700
32,"2025/01/03 23:56:48","取り出す","大豆",500,"エルド",-75000
33,"2025/01/03 23:57:01","預ける","あんパン",600,"エルド",225000
34,"2025/01/03 23:57:09","預ける","チョコアイス",200,"エルド",165800
35,"2025/01/03 23:57:31","預ける","タマゴ",1000,"エルド",9000
36,"2025/01/03 23:57:39","預ける","クリーム",200,"エルド",4800
37,"2025/01/03 23:58:45","取り出す","ニンジン",200,"ikanshi",-72000
38,"2025/01/03 23:58:50","取り出す","コーヒー豆",200,"ikanshi",-42000
